#run_name            mass#9900012         mass#9900035         mass#9900036         mass#9900037         cross                error                
run_116              2.300000e+01         1.000000e+02         1.000000e+02         1.000000e+02         3.310914e-10         2.634757e-13         
run_117              2.300000e+01         2.500000e+02         2.500000e+02         2.500000e+02         6.589537e-12         4.850187e-15         
run_118              2.300000e+01         5.000000e+02         5.000000e+02         5.000000e+02         4.019212e-13         2.997700e-16         
run_119              2.300000e+01         1.000000e+03         1.000000e+03         1.000000e+03         2.497604e-14         1.502300e-17         
run_120              2.300000e+01         1.000000e+04         1.000000e+04         1.000000e+04         2.497400e-18         1.829000e-21         
run_121              2.400000e+01         1.000000e+02         1.000000e+02         1.000000e+02         2.408322e-10         1.621163e-13         
run_122              2.400000e+01         2.500000e+02         2.500000e+02         2.500000e+02         4.824505e-12         3.440684e-15         
run_123              2.400000e+01         5.000000e+02         5.000000e+02         5.000000e+02         2.947082e-13         2.160400e-16         
run_124              2.400000e+01         1.000000e+03         1.000000e+03         1.000000e+03         1.831503e-14         1.412700e-17         
run_125              2.400000e+01         1.000000e+04         1.000000e+04         1.000000e+04         1.828700e-18         1.055100e-21         
run_126              2.500000e+01         1.000000e+02         1.000000e+02         1.000000e+02         1.724672e-10         1.469924e-13         
run_127              2.500000e+01         2.500000e+02         2.500000e+02         2.500000e+02         3.473074e-12         2.554556e-15         
run_128              2.500000e+01         5.000000e+02         5.000000e+02         5.000000e+02         2.121857e-13         1.690900e-16         
run_129              2.500000e+01         1.000000e+03         1.000000e+03         1.000000e+03         1.318002e-14         9.350700e-18         
run_130              2.500000e+01         1.000000e+04         1.000000e+04         1.000000e+04         1.315400e-18         9.070500e-22         
run_131              2.600000e+01         1.000000e+02         1.000000e+02         1.000000e+02         1.211505e-10         9.168456e-14         
run_132              2.600000e+01         2.500000e+02         2.500000e+02         2.500000e+02         2.449424e-12         1.438357e-15         
run_133              2.600000e+01         5.000000e+02         5.000000e+02         5.000000e+02         1.498540e-13         9.122401e-17         
run_134              2.600000e+01         1.000000e+03         1.000000e+03         1.000000e+03         9.323416e-15         7.014800e-18         
run_135              2.600000e+01         1.000000e+04         1.000000e+04         1.000000e+04         9.289400e-19         6.556500e-22         
run_136              2.700000e+01         1.000000e+02         1.000000e+02         1.000000e+02         8.313240e-11         5.390892e-14         
