#run_name            mass#9900012         mass#9900035         mass#9900036         mass#9900037         cross                error                
run_79               1.500000e+01         1.000000e+03         1.000000e+03         1.000000e+03         6.570412e-13         5.689665e-16         
run_80               1.500000e+01         1.000000e+04         1.000000e+04         1.000000e+04         6.562900e-17         5.549236e-20         
run_81               1.600000e+01         1.000000e+02         1.000000e+02         1.000000e+02         7.284680e-09         5.484386e-12         
run_82               1.600000e+01         2.500000e+02         2.500000e+02         2.500000e+02         1.415552e-10         9.969860e-14         
run_83               1.600000e+01         5.000000e+02         5.000000e+02         5.000000e+02         8.622747e-12         7.664703e-15         
run_84               1.600000e+01         1.000000e+03         1.000000e+03         1.000000e+03         5.351610e-13         3.908479e-16         
run_85               1.600000e+01         1.000000e+04         1.000000e+04         1.000000e+04         5.336300e-17         4.427489e-20         
run_86               1.700000e+01         1.000000e+02         1.000000e+02         1.000000e+02         5.856340e-09         4.654172e-12         
run_87               1.700000e+01         2.500000e+02         2.500000e+02         2.500000e+02         1.142314e-10         9.041398e-14         
run_88               1.700000e+01         5.000000e+02         5.000000e+02         5.000000e+02         6.943797e-12         5.623399e-15         
run_89               1.700000e+01         1.000000e+03         1.000000e+03         1.000000e+03         4.307108e-13         3.689716e-16         
run_90               1.700000e+01         1.000000e+04         1.000000e+04         1.000000e+04         4.304000e-17         3.150476e-20         
run_91               1.800000e+01         1.000000e+02         1.000000e+02         1.000000e+02         4.651560e-09         3.105280e-12         
run_92               1.800000e+01         2.500000e+02         2.500000e+02         2.500000e+02         9.090131e-11         6.779789e-14         
run_93               1.800000e+01         5.000000e+02         5.000000e+02         5.000000e+02         5.535360e-12         4.289402e-15         
run_94               1.800000e+01         1.000000e+03         1.000000e+03         1.000000e+03         3.437106e-13         2.692752e-16         
run_95               1.800000e+01         1.000000e+04         1.000000e+04         1.000000e+04         3.429500e-17         2.394850e-20         
run_96               1.900000e+01         1.000000e+02         1.000000e+02         1.000000e+02         3.650570e-09         2.581140e-12         
run_97               1.900000e+01         2.500000e+02         2.500000e+02         2.500000e+02         7.159562e-11         5.940814e-14         
run_98               1.900000e+01         5.000000e+02         5.000000e+02         5.000000e+02         4.356826e-12         3.128290e-15         
run_99               1.900000e+01         1.000000e+03         1.000000e+03         1.000000e+03         2.708105e-13         1.934943e-16         
run_100              1.900000e+01         1.000000e+04         1.000000e+04         1.000000e+04         2.703500e-17         1.691935e-20         
run_101              2.000000e+01         1.000000e+02         1.000000e+02         1.000000e+02         2.827677e-09         2.097625e-12         
run_102              2.000000e+01         2.500000e+02         2.500000e+02         2.500000e+02         5.571258e-11         4.102646e-14         
